matchId,seasonId,matchResult,matchEndType,systemPause,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,offsideCount,averageRating,controller,shootTotal,effectiveShootTotal,shootOutScore,goalTotal,goalTotalDisplay,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess,korea
626fd7ede5bd46482a2cf239,202205,패,0,1,1,0,0,0,60,4,40,1,3.82778,keyboard,7,4,0,1,1,0,2,0,0,0,7,1,0,0,0,0,97,89,67,65,6,5,0,0,4,4,17,13,3,2,6,0,6,2,N
626fd7ede5bd46482a2cf239,202205,승,0,0,0,0,0,0,114,0,60,1,4.30556,gamepad,5,4,0,2,2,0,1,1,0,0,4,2,1,0,0,0,153,143,128,123,4,3,0,0,2,1,19,16,0,0,9,1,5,2,N
6261299fd98b1eedd1c5b13d,202204,패,0,0,1,0,0,0,101,1,53,0,3.81667,gamepad,3,3,0,1,1,0,0,0,0,0,2,0,1,1,0,0,134,124,117,113,3,2,0,0,3,2,7,5,2,2,1,0,10,5,N
6261299fd98b1eedd1c5b13d,202204,승,0,0,2,1,0,0,85,0,47,1,4.15556,gamepad,3,2,0,2,2,0,0,0,0,0,3,2,0,0,0,0,104,97,84,78,2,1,0,0,1,1,17,17,0,0,7,0,17,8,N
627ff7ee75406a957b75c6fe,202205,패,2,0,0,0,0,0,0,0,0,0,0.0,etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
627ff7ee75406a957b75c6fe,202205,승,1,1,1,0,0,0,77,1,59,0,4.95,gamepad,8,8,0,6,3,0,1,1,0,0,7,6,1,0,0,0,97,89,63,63,6,3,1,1,2,1,22,20,2,1,1,1,26,14,N
627fe03f1b57f7e967cb2df2,202205,패,2,1,0,0,0,0,70,2,47,1,3.56667,gamepad,6,5,0,0,0,0,1,0,1,0,3,0,3,0,0,0,88,83,68,67,4,3,1,0,1,1,13,11,1,1,10,1,11,6,N
627fe03f1b57f7e967cb2df2,202205,승,1,0,1,1,0,0,64,3,53,0,4.73889,gamepad,7,7,0,3,3,0,1,1,0,0,2,1,5,2,0,0,94,88,74,70,2,2,0,0,1,1,14,13,3,2,6,1,4,2,N
627be685c313d83e81d2f826,202205,승,0,1,1,0,0,0,84,2,39,0,5.0,gamepad,7,4,5,1,1,0,0,0,0,0,3,0,4,1,0,0,122,108,87,82,8,4,0,0,2,2,22,19,1,1,11,1,13,4,Y
627be685c313d83e81d2f826,202205,패,0,1,0,2,0,0,144,5,61,0,4.85556,gamepad,10,7,4,1,1,0,4,0,0,0,8,1,2,0,0,0,198,181,161,154,13,6,0,0,3,3,21,18,0,0,10,1,24,9,N
62528e47e9f6ad771d6161e0,202204,패,2,1,0,0,0,0,71,1,57,1,3.45,gamepad,7,7,0,1,0,0,0,0,0,0,2,1,5,0,0,0,85,81,72,70,2,2,1,0,2,2,5,4,3,3,6,0,6,4,N
62528e47e9f6ad771d6161e0,202204,승,1,0,1,0,0,0,39,0,43,0,4.51111,keyboard,5,4,0,4,3,0,2,1,0,0,4,4,0,0,0,0,57,52,33,30,2,2,0,0,0,0,21,20,0,0,8,2,15,5,N
627888ff83608172194097fe,202205,패,2,1,0,0,0,0,44,0,44,0,3.27778,gamepad,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59,52,51,47,2,2,0,0,4,3,0,0,1,0,9,2,10,5,N
627888ff83608172194097fe,202205,승,1,0,1,0,0,0,53,2,56,0,4.66667,gamepad,8,7,0,4,3,0,3,1,0,0,6,4,2,0,0,0,67,64,51,49,2,2,2,1,1,1,9,9,2,2,5,0,8,5,N
627a38a91a47549823ae6b78,202205,패,0,0,1,0,0,0,89,0,55,0,3.47778,gamepad,4,4,0,1,1,0,0,0,0,0,4,1,0,0,0,0,128,121,93,89,4,4,0,0,5,4,25,24,0,0,10,1,7,3,N
